dataset_id,cell_count
07dd8c34-4625-480a-8ee4-273a06c3082b,9
203025fe-fa99-4d57-81da-458ed8f0c334,488
2adb1f8a-a6b1-4909-8ee8-484814e2d4bf,61
37a17b78-4864-4a42-b67b-31c00962795a,934
3c361813-5d5e-4868-bfe5-e7591e7b5381,885
5c97eeeb-7e52-44b3-b010-b832b1f5424c,764
5e57cd50-8e42-42d6-940d-5c1660d06864,72
74014ef8-d2d0-4cbc-8ba2-037f30753ffd,463
95d3b0fb-b8a7-4bec-a2e8-cded3222ff07,26
ac0c6561-7a48-4185-af6f-af799f699172,43
bab7432a-5cfe-45ea-928c-422d03c45cdd,45
be884a28-0eac-4eca-9c23-1294a93cf56e,13
f3c49918-4707-4d92-bb6d-2b5b4eb9d1b4,31
